file;date;organism;folder;pixel_area;plant_area;plant_pixel_count;plant_pixel_width;plant_pixel_height;plant_number
ABAG (1),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,0002117003367003367;108,84085900673401;514127;1016;1067;1
ABAG (2),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,0002064013130898646;132,35690603200658;641260;1187;1063;2
ABAG (3),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00020372620494127176;122,66212191170514;602093;1102;1115;3
ABAG (4),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00020513866231647635;105,26875081566068;513159;1082;1157;4
ABAG (5),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00021532534246575342;140,10208005136985;650653;1327;1093;5
ABAG (6),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00020888704318936877;156,84408970099668;750856;1481;1081;6
ABAG (7),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00020914760914760914;88,8517604989605;424828;848;977;7
ABAG (8),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00021304531977975433;215,56585895806862;1011831;1417;1260;8
ABAU (1),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00020819536423841059;144,5344267384106;694225;1317;1226;9
ABAU (2),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,0002082815734989648;149,18334327122153;716258;1325;1162;10
ABAU (3),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,0002077653862040479;206,77642296571665;995240;1624;1385;11
ABAU (4),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,0002078512396694215;143,88273429752067;692239;1397;1199;12
ABAU (5),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,0002117003367003367;132,6101494107744;626405;1154;1227;13
ABAU (6),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00020438845997561967;142,52518285249897;697325;1415;1185;14
ABAU (7),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,0002062320623206232;161,5230135301353;783210;1473;1393;15
ABAU (8),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00020793716411740388;171,02291112029764;822474;1585;1201;16
UG (1),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,0002072517511330861;68,99224268644417;332891;776;852;17
UG (2),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00020699588477366256;108,57327448559671;524519;1169;1052;18
UG (3),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00020438845997561967;112,60128159284844;550918;1125;1013;19
UG (4),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00020845420638209697;122,4443331951927;587392;1137;1183;20
UG (5),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00020914760914760914;83,05000582120581;397088;1053;838;21
UG (6),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,000205810147299509;95,83961129296236;465670;923;1072;22
UG (7),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00020597870597870597;61,95365724815724;300777;635;828;23
UG (8),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,0002072517511330861;100,00062793572312;482508;835;1121;24
UU (1),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,0002034789644012945;168,35951254045307;827405;1288;1293;25
UU (2),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00020708110333470564;132,72946150679292;640954;1135;1080;26
UU (3),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00020564186426819296;102,92128536385935;500488;970;1147;27
UU (4),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00020564186426819296;99,12575347506132;482031;935;843;28
UU (5),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00020555782590927666;141,6196808336739;688953;1211;1144;29
UU (6),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00020372620494127176;148,72970473876063;730047;1083;1345;30
UU (7),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00021241554054054053;136,27901351351352;641568;1194;1036;31
UU (8),JPG;2022-07-07;Pflanzenname;2022-07-07_ABA-Positivkontrolle_Tomate;0,00020742268041237113;98,74024824742268;476034;1041;914;32
