file;date;organism;folder;pixel_area;plant_area;plant_pixel_count;plant_pixel_width;plant_pixel_height;plant_number
ABAG (1),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00022256637168141592;166,6260946902655;748658;1273;1263;1
ABAG (2),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00022606741573033708;193,28198876404494;854975;1429;1168;2
ABAG (3),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00021917211328976034;150,17673202614378;685200;1198;1351;3
ABAG (4),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00021532534246575342;163,75772217465752;760513;1248;1283;4
ABAG (5),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,000217560553633218;142,40382525951557;654548;1307;1475;5
ABAG (6),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00022315882874889085;160,24879281277728;718093;1623;1181;6
ABAG (7),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00022080772607550484;138,1439376646181;625630;1200;1150;7
ABAG (8),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00022178130511463844;255,25697530864196;1150940;1462;1711;8
ABAU (1),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00022874033651659845;294,1749408822192;1286065;1469;1907;9
ABAU (2),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,0002221731448763251;280,1809977915194;1261093;1784;1693;10
ABAU (3),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,0002254594352308382;383,7272241147468;1701979;1861;2183;11
ABAU (4),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00021587982832618025;200,43017253218883;928434;1662;1285;12
ABAU (5),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00022090469916556874;208,74411638120336;944951;1470;1438;13
ABAU (6),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00021965065502183405;237,3375847161572;1080523;1674;1456;14
ABAU (7),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00022576301615798923;219,6042010771993;972720;1604;1881;15
ABAU (8),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00022051731696624287;378,87609469530906;1718124;2070;1968;16
UG (1),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00021690383786114706;88,6446942647693;408682;954;1029;17
UG (2),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00022385402759234535;148,31650066755674;662559;1290;1176;18
UG (3),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,0002193632795464457;130,39852725686873;594441;1055;1324;19
UG (4),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,000217560553633218;149,1086064013841;685366;1477;1256;20
UG (5),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00022187913542126157;112,6345024261138;507639;1216;1113;21
UG (6),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00021578721578721579;116,16300557700558;538322;1068;1094;22
UG (7),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00021898127993034392;55,533871571615144;253601;721;776;23
UG (8),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00021822125813449023;108,32677830802602;496408;892;1186;24
UU (1),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,0002279111916628908;379,75064159492524;1666222;1907;2010;25
UU (2),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00021841076856274425;214,48243247937472;982014;1478;1395;26
UU (3),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,0002169974115616911;208,96677135461604;962992;1477;1501;27
UU (4),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00022236958443854995;188,98368213969937;849863;1516;1349;28
UU (5),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00022475424486148346;271,1399249329759;1206384;1838;1542;29
UU (6),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00021709106603366423;286,4464514458351;1319476;1493;1767;30
UU (7),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,00022090469916556874;256,89029556433906;1162901;1666;1550;31
UU (8),JPG;2022-07-12;Pflanzenname;2022-07-11-ABA Positiv;0,0002248547161376844;217,0120084935181;965121;1507;1513;32
