file;date;organism;folder;pixel_area;plant_area_green;plant_pixel_count_green;plant_area_complete;plant_pixel_count_complete;plant_area_drought;plant_pixel_count_drought;drought_fraction;plant_number
G14 (1),JPG;2023-03-24;Pflanzenname;GFA 24,03,2023 Exp2,1 Original;0,0006532467532467533;272,74815714285717;417527;273,4138155844156;418546;35,157740259740265;53820;0,12858801660988278;1
G14 (2),JPG;2023-03-24;Pflanzenname;GFA 24,03,2023 Exp2,1 Original;0,0006523994811932555;275,13578080415044;421729;276,0230440985733;423089;44,94314785992218;68889;0,1628238975723784;2
G14 (3),JPG;2023-03-24;Pflanzenname;GFA 24,03,2023 Exp2,1 Original;0,0006399491094147583;280,97221628498727;439054;282,0556501272265;440747;54,75980534351145;85569;0,19414539406961365;3
G14 (4),JPG;2023-03-24;Pflanzenname;GFA 24,03,2023 Exp2,1 Original;0,0006742627345844504;276,03439812332437;409387;278,46039544235924;412985;60,118613941018765;89162;0,21589646113054953;4
G14 (5),JPG;2023-03-24;Pflanzenname;GFA 24,03,2023 Exp2,1 Original;0,0006797297297297298;361,56251756756757;531921;362,4203364864865;533183;54,39741081081081;80028;0,15009480797399766;5
G14 (6),JPG;2023-03-24;Pflanzenname;GFA 24,03,2023 Exp2,1 Original;0,0006899862825788752;315,8225912208505;457723;317,4337091906722;460058;42,227160493827164;61200;0,1330267053284586;6
G14 (7),JPG;2023-03-24;Pflanzenname;GFA 24,03,2023 Exp2,1 Original;0,0006751677852348993;328,5325932885906;486594;329,39883355704694;487877;46,22401208053691;68463;0,1403284024456984;7
G21 (1),JPG;2023-03-24;Pflanzenname;GFA 24,03,2023 Exp2,1 Original;0,0006918844566712517;272,9172833562586;394455;274,37646767537825;396564;44,332496561210455;64075;0,16157543296920548;8
G21 (2),JPG;2023-03-24;Pflanzenname;GFA 24,03,2023 Exp2,1 Original;0,0006671087533156499;322,06476259946953;482777;322,8966472148541;484024;48,51081432360743;72718;0,1502363519164339;9
G21 (3),JPG;2023-03-24;Pflanzenname;GFA 24,03,2023 Exp2,1 Original;0,0006733601070950468;308,98273226238285;458867;309,5342141900937;459686;51,404310575635876;76340;0,16606988248500062;10
G21 (4),JPG;2023-03-24;Pflanzenname;GFA 24,03,2023 Exp2,1 Original;0,000666225165562914;321,6508450331126;482796;322,5355920529802;484124;54,91161059602649;82422;0,17024977071989822;11
G21 (5),JPG;2023-03-24;Pflanzenname;GFA 24,03,2023 Exp2,1 Original;0,000813915857605178;445,84357281553395;547776;446,65911650485435;548778;61,98538996763754;76157;0,13877560689386237;12
G21 (6),JPG;2023-03-24;Pflanzenname;GFA 24,03,2023 Exp2,1 Original;0,0006609724047306176;331,4280880420499;501425;331,962814717477;502234;46,64151773981603;70565;0,1405022360095095;13
G21 (7),JPG;2023-03-24;Pflanzenname;GFA 24,03,2023 Exp2,1 Original;0,0006532467532467533;341,8897532467533;523370;342,85525194805194;524848;47,50737012987013;72725;0,13856392707984025;14
G28 (1),JPG;2023-03-24;Pflanzenname;GFA 24,03,2023 Exp2,1 Original;0,0006575163398692811;307,82284967320265;468160;308,4468326797386;469109;48,666071895424835;74015;0,15777782988601796;15
G28 (2),JPG;2023-03-24;Pflanzenname;GFA 24,03,2023 Exp2,1 Original;0,0006383248730964467;255,3816535532995;400081;256,040404822335;401113;42,01390482233503;65819;0,16409091702338244;16
G28 (3),JPG;2023-03-24;Pflanzenname;GFA 24,03,2023 Exp2,1 Original;0,0006575163398692811;270,65739607843136;411636;271,4082797385621;412778;44,269917647058826;67329;0,16311189065308712;17
