file;date;organism;folder;pixel_area;plant_area_green;plant_pixel_count_green;plant_area_complete;plant_pixel_count_complete;plant_area_drought;plant_pixel_count_drought;drought_fraction;plant_number
G35 (7),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007074542897327707;372,19523909985935;526105;410,0617299578059;579630;210,43652320675105;297456;0,51318254748719;28
G42 (1),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007134751773049645;392,843;550605;456,34871205673755;639614;195,2952794326241;273724;0,42795185846463646;29
G42 (2),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007247838616714697;378,2001916426513;521811;426,0641930835735;587850;184,9133818443804;255129;0,4340035723398826;30
G42 (3),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,000730043541364296;331,81866037735847;454519;357,83084179970973;490150;166,32582002902757;227830;0,46481689278792204;31
G42 (4),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007473997028231798;315,39221099554237;421986;345,43543684992574;462183;171,57980237741455;229569;0,49670585028008385;32
G42 (5),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007364568081991215;351,17501024890186;476844;387,34019472913616;525951;169,54929575402633;230223;0,43772708864513993;33
G42 (6),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007034965034965035;331,59800139860135;471357;385,900193006993;548546;186,43642237762236;265014;0,48312083216357427;34
G42 (7),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007227011494252873;399,5633979885057;552875;423,57369827586206;586098;175,70960775862068;243129;0,41482653071670605;35
UU (1),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007702909647779479;656,98732618683;852908;705,4848453292497;915868;300,01985758039814;389489;0,42526761498381865;36
UU (2),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007621212121212121;424,80865;557403;481,6186893939394;631945;209,9415303030303;275470;0,4359081882125818;37
UU (3),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007353801169590643;437,57249561403506;595029;474,7856710526315;645633;207,37425146198828;281996;0,43677445235915763;38
UU (4),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007485119047619048;463,15745982142863;618771;510,3930520833334;681877;224,67108779761907;300157;0,4401922927448792;39
UU (5),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007552552552552552;436,78979279279275;578334;516,4729984984984;683839;246,54703603603602;326442;0,4773667486060315;40
UU (6),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007440828402366864;468,3197869822485;629392;520,1622707100591;699065;237,84831213017753;319653;0,4572579087781537;41
UU (7),JPG;2023-04-12;Pflanzenname;GFA 12,04,2023 Exp2,1 Original;0,0007353801169590643;466,04641374269005;633749;522,7824605263157;710901;255,78726608187134;347830;0,4892805045990933;42
