file;date;organism;folder;pixel_area;plant_area_green;plant_pixel_count_green;plant_area_complete;plant_pixel_count_complete;plant_area_drought;plant_pixel_count_drought;drought_fraction;plant_number
G14 (1),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006383248730964467;237,03364340101524;371337;238,46987436548224;373587;74,8569961928934;117271;0,31390546244917517;1
G14 (2),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006635883905013192;299,00098416886544;450582;300,2458759894459;452458;46,6277018469657;70266;0,1552983923369683;2
G14 (3),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006769851951547779;302,7728277254374;447237;303,73482368775234;448658;54,36868102288022;80310;0,1790004858934868;3
G14 (4),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006618421052631579;278,5031578947369;420800;279,83610789473687;422814;53,468900000000005;80788;0,1910721972309337;4
G14 (5),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006456996148908857;272,93464441591783;422696;274,2738254172015;424770;80,54908985879332;124747;0,2936812863431975;5
G14 (6),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006217552533992584;231,63181087762672;372545;233,03759950556244;374806;63,64784177997528;102368;0,27312262877328536;6
G14 (7),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006465295629820052;282,89288946015427;437556;283,7605321336761;438898;49,186676092544985;76078;0,17333868005778108;7
G21 (1),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006609724047306176;265,16362155059136;401172;266,1193876478318;402618;73,0645505913272;110541;0,2745555340297751;8
G21 (2),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006843537414965987;286,6477238095238;418859;287,7721170068027;420502;62,001080272108844;90598;0,21545200736262848;9
G21 (3),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006375158428390368;233,94982636248417;366971;235,23250823827632;368983;49,63379594423321;77855;0,21099888070724127;10
G21 (4),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006715620827770361;315,00828304405877;469068;315,9927930574099;470534;66,21400667556743;98597;0,20954277480479624;11
G21 (5),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006303258145363409;255,80575563909775;405831;256,9630338345865;407667;75,11592731829575;119170;0,2923219196059529;12
G21 (6),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006490322580645162;307,31417806451617;473496;307,9482825806452;474473;44,43274838709678;68460;0,14428639775076768;13
G21 (7),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006751677852348993;317,41730604026844;470131;318,6143785234899;471904;70,45915973154362;104358;0,22114243574964398;14
G28 (1),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006415816326530612;286,31221938775514;446260;287,229681122449;447690;62,523413265306125;97452;0,21767741070830263;15
G28 (2),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006558018252933507;275,54759713168187;420169;276,53589048239894;421676;46,0982777053455;70293;0,1666990770164771;16
G28 (3),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006558018252933507;310,34837679269884;473235;311,6225997392438;475178;47,720075619295955;72766;0,15313419392311933;17
G28 (4),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006440460947503201;328,7224148527529;510402;329,870104993598;512184;59,79323943661972;92840;0,18126298361526327;18
G28 (5),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006432225063938619;281,32558439897696;437369;282,1308989769821;438621;70,19101278772378;109124;0,248788817680868;19
G28 (6),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006424010217113666;199,8708722860792;311131;201,4640268199234;313611;70,21121966794381;109295;0,348504995041628;20
G28 (7),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006583769633507853;225,93061387434554;343163;227,16638743455496;345040;89,65382460732984;136174;0,3946614885230698;21
G35 (1),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006440460947503201;240,84425736235596;373955;242,27210755441743;376172;76,28017541613316;118439;0,3148533117829078;22
G35 (2),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006448717948717949;314,91733717948716;488341;316,1000320512821;490175;88,13849743589743;136676;0,2788310297342786;23
G35 (3),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006532467532467533;267,37977532467534;409309;268,7065194805195;411340;46,677093506493506;71454;0,1737103126367482;24
G35 (4),JPG;2023-03-28;Pflanzenname;GFA 28,03,2023 Exp2,1 Original;0,0006609724047306176;300,7285637319317;454979;301,5666767411301;456247;61,52198948751643;93078;0,2040079167643842;25
